,brandnm,goodsnm,4days,7days
896,ALEXANDER MCQUEEN,lace patch chiffon dress black,34000,44000
897,JIL SANDER,over sized double coat black,34000,44000
898,MAX MARA,suede collar check jacket brown,34000,44000
899,CHANEL,high waist wide denim jeans,19000,29000
900,VALENTINO,lace pointed collar shirt,19000,29000
901,THOM BROWNE,stripe pattern pointed cardigan,24000,34000
902,CHANEL,pocket graphics pattern zipup-jumper navy,49000,59000
903,CHLOE,basic pattern t-shirts white,19000,29000
904,GUCCI,gold belted drape dress black,34000,44000
905,THOM BROWNE,oxford basic tee gray,19000,29000
906,CHRISTIAN DIOR,ribbon draping cap sleeve dress,39000,49000
907,CHANEL,logo pointed stripe knit top,19000,29000
908,GUCCI,unbalance draping peplum check dress,34000,44000
909,THOM BROWNE,basic pattern sweat-shirts grey,24000,34000
910,FENDI,graphics pattern top,24000,34000
911,BURBERRY,embroidery basic pattern sweater ivory,24000,34000
912,CHANEL,pocket basic pattern wool cardigan grey,39000,49000
913,BURBERRY,lettering pattern t-shirts white,24000,34000
914,BALMAIN,basic pattern sweat-shirts white,24000,34000
915,BALMAIN,button basic pattern wool doublebreasted-jacket brown,39000,49000
916,MAX MARA,strap basic pattern coat pink,39000,49000
917,CHRISTIAN DIOR,button basic pattern H-Line wool dress pink,39000,49000
918,ISSEY MIYAKE,pleats basic pattern A-Line dress bluegreen,39000,49000
919,THOM BROWNE,button basic pattern t-shirts white,24000,34000
920,ISSEY MIYAKE,pleats graphics pattern unbalance dress,39000,49000
921,THOM BROWNE,stripe pattern cashmere sweater charcoal,24000,34000
922,BURBERRY,check pattern wool skirt,24000,34000
923,SORRY TOO MUCH LOVE,button dots pattern shirts brown,15000,25000
924,CHANEL,pocket graphics pattern zipup-jumper navy,49000,59000
925,CHLOE,basic pattern t-shirts white,19000,29000
926,GUCCI,gold belted drape dress black,34000,44000
927,THOM BROWNE,oxford basic tee gray,19000,29000
928,CHRISTIAN DIOR,ribbon draping cap sleeve dress,39000,49000
929,CHANEL,logo pointed stripe knit top,19000,29000
930,GUCCI,unbalance draping peplum check dress,34000,44000
931,THOM BROWNE,basic pattern sweat-shirts grey,24000,34000
932,FENDI,graphics pattern top,24000,34000
933,BURBERRY,embroidery basic pattern sweater ivory,24000,34000
934,CHANEL,pocket basic pattern wool cardigan grey,39000,49000
935,BURBERRY,lettering pattern t-shirts white,24000,34000
936,ISSEY MIYAKE,pleats stripe pattern jacket,39000,49000
937,GUCCI,printing pattern sweat-shirts grey,24000,34000
938,THOM BROWNE,button stripe pattern singlebreasted-jacket navy,39000,49000
939,LANVIN,button basic pattern wool jacket black,39000,49000
940,SACAI,punching basic pattern A-Line dress skyblue,34000,44000
941,"PRADA,EL ESTILO DE CLAIRE","sleeve cardigan set green,H-line middle leather skirt",39000,59000
942,THOM BROWNE,button stripe pattern wool cardigan black,39000,49000
943,BURBERRY,pocket check pattern skirt,24000,34000
944,CHANEL,pocket basic pattern wool fullzip-jacket grey,39000,49000
945,GUCCI,basic pattern A-Line dress cream,39000,49000
946,GUCCI,button flower pattern H-Line dress lavender,39000,49000
947,YVES SAINT LAURENT,basic pattern wool sweater black,24000,34000
948,GUCCI,pattern pointed a-line skirts,19000,29000
949,YVES SAINT LAURENT,basic pattern wool sweater red,19000,29000
950,BALENCIAGA,basic pattern t-shirts grey,19000,29000
951,CHANEL,crochet detail dress,34000,44000
952,GUCCI,mixed pattern knit top multi,24000,34000
953,MAX MARA,stripe pattern H-Line shirt-dress blue,39000,49000
954,GUCCI,button basic pattern H-Line dress grey,39000,49000
955,GIVENCHY,front zipper crop jumper black,39000,49000
956,SACAI,mixed pattern high neck blouse,19000,29000
957,GUCCI,lettering pattern sweater black,24000,34000
958,VALENTINO,lace pointed collar shirt,19000,29000
959,THOM BROWNE,stripe pattern pointed cardigan,24000,34000
960,CHANEL,pocket graphics pattern zipup-jumper navy,49000,59000
961,CHLOE,basic pattern t-shirts white,19000,29000
962,GUCCI,gold belted drape dress black,34000,44000
963,THOM BROWNE,oxford basic tee gray,19000,29000
964,CHRISTIAN DIOR,ribbon draping cap sleeve dress,39000,49000
965,CHANEL,logo pointed stripe knit top,19000,29000
966,GUCCI,unbalance draping peplum check dress,34000,44000
967,THOM BROWNE,basic pattern sweat-shirts grey,24000,34000
968,FENDI,graphics pattern top,24000,34000
969,BURBERRY,embroidery basic pattern sweater ivory,24000,34000
970,CHANEL,pocket basic pattern wool cardigan grey,39000,49000
971,BURBERRY,lettering pattern t-shirts white,24000,34000
